username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2011-08-29 18:31;0;0;"its amazing ho quick u go from star to nothing..lt doesnt even start anymore, larry johnson best in game 2 years ago not to be seen";;;;"108320841133080576";https://twitter.com/B1G_Dee/status/108320841133080576
;2011-08-29 17:24;0;0;"people forget that Larry Johnson used to be that man. & even though he was still good after his injury in his NYK years, he was a real beast";;;;"108304059416576000";https://twitter.com/The_Hawk_13/status/108304059416576000
;2011-08-29 17:06;0;1;"Larry Johnson Cartoons via @ weei";;@;;"108299450203652096";https://twitter.com/ayres_brenda/status/108299450203652096
;2011-08-29 17:06;0;0;"Larry Johnson Cartoons http://www.weei.com/weei/larry-johnson-cartoons … via @ weei";;@;;"108299424198967297";https://twitter.com/ayres_brenda/status/108299424198967297
;2011-08-29 15:58;0;0;"Expect a heavy dose of Daniel Thomas and Larry Johnson in the final preseason game # Dolphins";;;#;"108282474576097280";https://twitter.com/DanielEliesen/status/108282474576097280
;2011-08-29 15:26;0;0;"@ moronimontoya Larry Johnson de los Charlotte Hornets usaba el #2 :) si traigo";;@;#2;"108274234085740544";https://twitter.com/chewpinto/status/108274234085740544
;2011-08-29 14:16;0;0;"@MCPDSheepDog D Thomas is the reason Mia signed Larry Johnson, has been tiptoeing. would stay away unless its late enough to take a flier.";;@MCPDSheepDog;;"108256766780915712";https://twitter.com/ProsFB/status/108256766780915712
;2011-08-29 13:37;0;0;"@ JRod0526 @ sedanoshow you're not excited about Larry Johnson?";;@ @;;"108246806915330048";https://twitter.com/CPoTweetsStuff/status/108246806915330048
;2011-08-29 13:12;0;0;"@ OmarKelly Do you think Chester Taylor makes more sense for the Dolphins over Larry Johnson?";;@;;"108240582840811520";https://twitter.com/SportsFan_13/status/108240582840811520
;2011-08-29 12:45;0;0;"One last chance!! to see storyteller Larry Johnson TODAY @2:30pm on Sustainability Stage @ # EcoExperience @MinnStateFair # MNSF";;@2 @ @MinnStateFair;# #;"108233742887297024";https://twitter.com/Iam_MN/status/108233742887297024
;2011-08-29 12:36;0;0;"Draft tonight...hoping to get priest Holmes or larry Johnson than maybe Amani toomer";;;;"108231674394980352";https://twitter.com/Rickdotsalt/status/108231674394980352
;2011-08-29 12:15;1;0;"@ lucashennessey dude you should draft Andy Dalton in round 1 and Larry Johnson in round 2. Championship!";;@;;"108226251029884928";https://twitter.com/schoonnutz/status/108226251029884928
;2011-08-29 11:23;1;0;"93 Hornets on NBA2k12.....OMG!!!! Larry Johnson and Alonzo Mourning!!!!";;;;"108213083662585856";https://twitter.com/Kings_Blues/status/108213083662585856
;2011-08-29 10:48;0;0;"@ MiamiDolphins sure Wake, RULES but why don't we trade Larry Johnson, Daniel Thomas, Jason Taylor and some round picks for Chris Johnson???";;@;;"108204276286898177";https://twitter.com/Marino58/status/108204276286898177
;2011-08-29 10:43;0;0;"I never thought I'd put Matt Fox and Larry Johnson in same sentence RT @ THR: Matthew Fox Arrested for Assaulting Woman: http://bit.ly/ogJu4E";;@;;"108203215333498880";https://twitter.com/OldJMW/status/108203215333498880
;2011-08-29 10:18;2;0;"@ Money2Wealthy Fuck w Larry Johnson but we don't play games. No secrets, nigga! We don't say names! Im like Hov listenin 2 Hov in the H-O-V";;@;;"108196876385402880";https://twitter.com/FatTrelRhymes/status/108196876385402880
;2011-08-29 09:36;0;0;"http://yfrog.com/h4dznexvj the Larry Johnson joint on my back";;;;"108186256705458177";https://twitter.com/Freddie_kelli/status/108186256705458177
;2011-08-29 09:14;0;0;"http://www.book-lib.com/larry-johnson.html … # larry # johnson Larry Johnson";;;# #;"108180636979834880";https://twitter.com/booklib2011/status/108180636979834880
;2011-08-29 09:08;0;0;"Miami Dolphins Take Chance on Larry Johnson | Football Schedule: After almost a year off the field, the former P... http://bit.ly/nLMXQo";;;;"108179211952463873";https://twitter.com/uCoachDolphins/status/108179211952463873
;2011-08-29 08:25;0;0;"In 2008, the racist Larry Johnson crazies were about the only pro-Clinton bloggers online... & UK papers & HuffPo & Politico ran BS stories";;;;"108168518524084224";https://twitter.com/ronbryn/status/108168518524084224
